Server,Component Type,Component Name,Description,en-US
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.32.St_Caption,/*N:1 {::[P01]local:3:I.Data.0} NOFILL DP:0*/   local:3:I.Data.0  I1/0
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.33.St_Caption,/*N:1 {::[P01]local:3:I.Data.1} NOFILL DP:0*/   local:3:I.Data.1  I1/1
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.34.St_Caption,/*N:1 {::[P01]local:3:I.Data.2} NOFILL DP:0*/   local:3:I.Data.2  I1/2
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.35.St_Caption,/*N:1 {::[P01]local:3:I.Data.3} NOFILL DP:0*/   local:3:I.Data.3  I1/3
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.36.St_Caption,/*N:1 {::[P01]local:3:I.Data.4} NOFILL DP:0*/   local:3:I.Data.4  I1/4
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.37.St_Caption,/*N:1 {::[P01]local:3:I.Data.5} NOFILL DP:0*/   local:3:I.Data.5  I1/5
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.38.St_Caption,/*N:1 {::[P01]local:3:I.Data.6} NOFILL DP:0*/   local:3:I.Data.6  I1/6
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.39.St_Caption,/*N:1 {::[P01]local:3:I.Data.7} NOFILL DP:0*/   local:3:I.Data.7  I1/7
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.40.St_Caption,/*N:1 {::[P01]local:3:I.Data.8} NOFILL DP:0*/   local:3:I.Data.8  I1/8
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.41.St_Caption,/*N:1 {::[P01]local:3:I.Data.9} NOFILL DP:0*/   local:3:I.Data.9  I1/9
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.42.St_Caption,/*N:1 {::[P01]local:3:I.Data.10} NOFILL DP:0*/   local:3:I.Data.10  I1/10
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.43.St_Caption,/*N:1 {::[P01]local:3:I.Data.11} NOFILL DP:0*/   local:3:I.Data.11  I1/11
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.44.St_Caption,/*N:1 {::[P01]local:3:I.Data.12} NOFILL DP:0*/   local:3:I.Data.12  I1/12
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.45.St_Caption,/*N:1 {::[P01]local:3:I.Data.13} NOFILL DP:0*/   local:3:I.Data.13  I1/13
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.46.St_Caption,/*N:1 {::[P01]local:3:I.Data.14} NOFILL DP:0*/   local:3:I.Data.14  I1/14
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.47.St_Caption,/*N:1 {::[P01]local:3:I.Data.15} NOFILL DP:0*/   local:3:I.Data.15  I1/15
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.48.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.49.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.50.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.51.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.52.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.53.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.54.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.55.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.56.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.57.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.58.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.59.St_Caption,
